Sample_id,Population
HG00349,FIN
HG01603,IBS
HG01757,IBS
HG03968,ITU
NA12044,CEU
HG00275,FIN
HG00243,GBR
HG00158,GBR
HG03895,STU
NA20544,TSI
NA12830,CEU
NA20536,TSI
NA20760,TSI
NA11933,CEU
HG03741,STU
HG00117,GBR
NA20588,TSI
HG04209,ITU
HG03999,STU
NA12761,CEU
HG00180,FIN
NA20528,TSI
NA12005,CEU
HG00129,GBR
HG03848,STU
HG01623,IBS
HG04206,ITU
HG03743,STU
HG04017,ITU
HG01528,IBS
HG03850,STU
HG04235,ITU
HG01686,IBS
HG01679,IBS
HG03740,STU
HG03837,STU
HG00376,FIN
HG03885,STU
HG01610,IBS
NA12716,CEU
HG01767,IBS
NA20805,TSI
HG00360,FIN
NA11840,CEU
NA20521,TSI
HG04018,ITU
HG03774,ITU
HG02220,IBS
HG03951,STU
HG00268,FIN
HG00280,FIN
NA20539,TSI
NA12046,CEU
HG03645,STU
HG00256,GBR
HG00106,GBR
HG00253,GBR
NA12003,CEU
NA20581,TSI
NA11930,CEU
HG03858,STU
HG03857,STU
NA11830,CEU
HG00330,FIN
HG00128,GBR
HG00146,GBR
HG00145,GBR
HG00233,GBR
HG00365,FIN
NA12342,CEU
NA20519,TSI
HG00186,FIN
HG00110,GBR
HG03789,ITU
NA12872,CEU
HG00379,FIN
NA20765,TSI
HG03873,ITU
HG04198,ITU
HG03755,STU
HG03976,ITU
HG00378,FIN
HG04061,ITU
HG04026,ITU
HG00244,GBR
HG01615,IBS
HG04056,ITU
HG03785,ITU
HG01766,IBS
HG04075,STU
HG00239,GBR
HG00122,GBR
HG00114,GBR
HG03869,ITU
HG01783,IBS
HG01697,IBS
NA20828,TSI
HG03782,ITU
HG03778,ITU
NA20531,TSI
HG00327,FIN
HG03781,ITU
HG03693,STU
HG00133,GBR
HG01710,IBS
HG03977,ITU
HG04093,ITU
HG00108,GBR
HG01700,IBS
HG00121,GBR
HG03689,STU
HG01619,IBS
NA12749,CEU
NA20801,TSI
NA20808,TSI
NA20818,TSI
NA12828,CEU
HG01527,IBS
HG03898,STU
HG00257,GBR
NA12272,CEU
HG02235,IBS
HG04070,ITU
HG01334,GBR
NA12546,CEU
HG03646,STU
HG00345,FIN
HG00235,GBR
HG03772,ITU
HG00188,FIN
HG03867,ITU
HG01504,IBS
HG01776,IBS
HG01675,IBS
HG00252,GBR
NA12878,CEU
HG00284,FIN
HG00310,FIN
NA12762,CEU
HG01678,IBS
HG00097,GBR
NA20815,TSI
HG02232,IBS
HG04210,STU
HG03770,ITU
HG01786,IBS
HG00282,FIN
HG01630,IBS
HG03872,ITU
HG03727,ITU
HG01781,IBS
HG04023,ITU
HG00335,FIN
NA20509,TSI
HG04015,ITU
NA20543,TSI
NA10847,CEU
HG01771,IBS
NA20786,TSI
HG00150,GBR
HG01761,IBS
HG01515,IBS
NA20832,TSI
NA12829,CEU
HG00272,FIN
NA12154,CEU
NA11920,CEU
HG03731,ITU
HG00264,GBR
HG04225,ITU
NA20535,TSI
HG03750,STU
HG00380,FIN
HG03680,STU
NA12275,CEU
NA20795,TSI
HG00341,FIN
HG00309,FIN
NA12341,CEU
NA20514,TSI
HG01500,IBS
HG03995,STU
HG03960,ITU
NA20813,TSI
HG03773,ITU
HG03713,ITU
NA20756,TSI
HG00332,FIN
HG00331,FIN
NA12827,CEU
HG03711,STU
HG00118,GBR
HG00371,FIN
NA12748,CEU
HG03691,STU
NA20762,TSI
HG00111,GBR
HG03681,STU
HG00125,GBR
NA12718,CEU
HG00367,FIN
HG04214,ITU
HG03944,STU
HG01694,IBS
HG03644,STU
HG04006,STU
HG01777,IBS
HG00346,FIN
HG00311,FIN
HG04118,ITU
HG03746,STU
HG02224,IBS
HG00278,FIN
NA12286,CEU
HG00372,FIN
HG03894,STU
HG00176,FIN
HG04060,ITU
HG01620,IBS
HG01790,GBR
HG00116,GBR
HG04107,STU
HG03714,ITU
HG01709,IBS
HG03971,ITU
NA20790,TSI
HG01507,IBS
HG04019,ITU
NA20527,TSI
NA20525,TSI
HG00258,GBR
HG00381,FIN
HG03672,STU
HG03991,STU
NA11832,CEU
NA12043,CEU
NA12777,CEU
NA11894,CEU
HG00103,GBR
NA20809,TSI
HG00149,GBR
HG04020,ITU
NA11992,CEU
HG00369,FIN
HG00115,GBR
HG00154,GBR
NA20799,TSI
NA20589,TSI
HG00101,GBR
NA20811,TSI
HG04014,ITU
HG03695,STU
NA20755,TSI
HG02219,IBS
HG00260,GBR
HG02221,IBS
HG03965,ITU
HG01625,IBS
HG00126,GBR
NA12778,CEU
HG01765,IBS
HG00157,GBR
HG03786,ITU
HG01631,IBS
HG00139,GBR
HG00351,FIN
HG01676,IBS
NA20792,TSI
HG03846,STU
HG03836,STU
HG00375,FIN
NA12889,CEU
NA20802,TSI
NA11843,CEU
HG01513,IBS
NA20502,TSI
NA20510,TSI
HG03989,STU
NA20754,TSI
HG04038,STU
NA20798,TSI
NA12815,CEU
NA20508,TSI
HG00187,FIN
NA06984,CEU
HG00366,FIN
HG04035,STU
HG00358,FIN
HG03687,STU
HG01512,IBS
NA20506,TSI
HG03787,ITU
HG03861,ITU
NA20541,TSI
NA20768,TSI
HG00344,FIN
NA20796,TSI
HG04200,ITU
HG01626,IBS
NA20814,TSI
NA12763,CEU
HG00267,FIN
HG03963,ITU
NA06989,CEU
NA11995,CEU
HG00234,GBR
HG00281,FIN
HG03897,STU
NA20797,TSI
HG00288,FIN
HG00160,GBR
HG00343,FIN
HG03890,STU
NA20770,TSI
HG01536,IBS
HG04063,ITU
HG04239,ITU
HG04106,STU
NA12144,CEU
HG00107,GBR
NA12717,CEU
HG00138,GBR
HG04025,ITU
HG00329,FIN
HG01707,IBS
HG03679,STU
NA11932,CEU
NA11994,CEU
HG03790,ITU
HG00178,FIN
HG00276,FIN
NA06985,CEU
NA11829,CEU
NA20586,TSI
HG01762,IBS
NA20511,TSI
HG03643,STU
HG04099,STU
HG03947,STU
HG00342,FIN
HG03986,STU
NA12347,CEU
HG04001,ITU
NA20778,TSI
HG01768,IBS
NA20516,TSI
HG03780,ITU
NA20530,TSI
HG00140,GBR
HG00313,FIN
HG03967,ITU
HG03950,STU
HG04211,ITU
HG03685,STU
HG01519,IBS
HG03771,ITU
NA07037,CEU
HG00337,FIN
HG04022,ITU
NA20759,TSI
NA11931,CEU
HG03955,STU
HG04003,STU
NA20532,TSI
