Sample_id,Population
HG02385,CDX
HG00867,CDX
HG00657,CHS
HG00584,CHS
HG02082,KHV
NA18624,CHB
HG03928,BEB
HG02406,CDX
HG02654,PJL
NA18605,CHB
HG00451,CHS
NA18553,CHB
NA18534,CHB
NA18647,CHB
NA18964,JPT
HG00608,CHS
NA18559,CHB
NA18549,CHB
HG00479,CHS
HG01871,KHV
HG03796,BEB
NA19083,JPT
NA18943,JPT
HG03902,BEB
NA18621,CHB
HG03022,PJL
HG02733,PJL
HG03595,BEB
HG03824,BEB
NA18953,JPT
HG03012,BEB
HG02078,KHV
NA18985,JPT
HG03631,PJL
HG01864,KHV
NA19003,JPT
HG01851,KHV
HG03603,BEB
NA18999,JPT
HG03905,BEB
HG02736,PJL
HG02382,CDX
HG03833,BEB
HG00729,CHS
HG00978,CDX
NA18974,JPT
HG02067,KHV
HG02190,CDX
HG00690,CHS
HG00421,CHS
HG00683,CHS
NA18577,CHB
HG03652,PJL
NA18566,CHB
HG03235,PJL
NA18611,CHB
HG02058,KHV
HG01805,CDX
HG00478,CHS
HG00557,CHS
HG00556,CHS
HG00629,CHS
HG01857,KHV
HG02069,KHV
NA18956,JPT
HG00619,CHS
HG00437,CHS
NA19080,JPT
NA18631,CHB
HG01868,KHV
HG02356,CDX
HG02792,PJL
NA18544,CHB
HG03765,PJL
NA19067,JPT
HG01867,KHV
HG03937,BEB
HG03914,BEB
HG00662,CHS
HG03931,BEB
HG02787,PJL
HG04134,BEB
HG00653,CHS
HG00464,CHS
HG00446,CHS
HG03593,BEB
HG02136,KHV
NA19001,JPT
HG02374,CDX
HG02649,PJL
HG03607,BEB
HG01801,CDX
HG02783,PJL
HG02690,PJL
HG00525,CHS
HG03826,BEB
NA18977,JPT
HG00428,CHS
HG00463,CHS
HG02494,PJL
HG02086,KHV
HG03663,PJL
NA19077,JPT
NA18622,CHB
HG00663,CHS
HG02699,PJL
HG02700,PJL
NA18644,CHB
HG02188,CDX
HG02057,KHV
HG02032,KHV
NA19007,JPT
HG04159,BEB
HG03640,PJL
HG00692,CHS
NA18636,CHB
HG02402,CDX
HG02493,PJL
HG03238,PJL
HG01874,KHV
NA18625,CHB
HG02401,CDX
HG01841,KHV
HG00632,CHS
HG02694,PJL
HG00622,CHS
NA18603,CHB
HG02019,KHV
HG02138,KHV
HG00675,CHS
NA18748,CHB
HG01029,CDX
HG01596,KHV
NA19010,JPT
HG02140,KHV
HG00403,CHS
NA19084,JPT
NA18620,CHB
HG04173,BEB
HG04185,BEB
HG01028,CDX
HG02127,KHV
HG02600,PJL
NA18944,JPT
HG02380,CDX
NA19090,JPT
HG01809,CDX
NA18614,CHB
HG04140,BEB
NA18978,JPT
NA19068,JPT
HG02367,CDX
HG04152,BEB
HG00565,CHS
HG02250,CDX
HG02031,KHV
NA19091,JPT
NA18645,CHB
HG00844,CDX
NA18989,JPT
NA18565,CHB
HG02661,PJL
HG00707,CHS
HG04146,BEB
NA18971,JPT
HG02696,PJL
HG01869,KHV
HG02522,KHV
HG02778,PJL
HG01815,CDX
HG01595,KHV
NA18617,CHB
NA18950,JPT
HG01878,KHV
HG03832,BEB
HG03625,PJL
NA19082,JPT
HG03829,BEB
NA18991,JPT
HG01807,CDX
HG01806,CDX
NA18982,JPT
HG00452,CHS
HG01862,KHV
NA18629,CHB
HG02651,PJL
NA18998,JPT
HG00442,CHS
HG02597,PJL
HG00473,CHS
NA18563,CHB
HG01859,KHV
HG04180,BEB
HG04162,BEB
HG02155,CDX
HG02491,PJL
NA18988,JPT
HG02375,CDX
HG01842,KHV
HG01597,KHV
NA18536,CHB
HG02397,CDX
HG00956,CDX
HG03021,PJL
HG01863,KHV
HG02789,PJL
HG00596,CHS
HG03913,BEB
HG02087,KHV
HG02389,CDX
HG00449,CHS
HG03667,PJL
HG02684,PJL
HG02184,CDX
NA18609,CHB
NA19058,JPT
HG02023,KHV
HG03907,BEB
NA18963,JPT
HG03809,BEB
HG00693,CHS
HG01870,KHV
HG02512,KHV
HG03815,BEB
NA18643,CHB
HG03934,BEB
HG03926,BEB
HG03821,BEB
HG00410,CHS
HG00560,CHS
NA18641,CHB
NA18572,CHB
HG01861,KHV
HG00448,CHS
HG00580,CHS
NA19065,JPT
NA18986,JPT
HG00407,CHS
NA18531,CHB
HG03708,PJL
HG02657,PJL
NA18990,JPT
HG02392,CDX
NA18542,CHB
HG02395,CDX
NA19057,JPT
HG02116,KHV
HG00475,CHS
NA18630,CHB
HG02353,CDX
HG00583,CHS
HG03228,PJL
HG02128,KHV
HG00534,CHS
HG01845,KHV
HG02139,KHV
NA19059,JPT
HG03589,BEB
HG03488,PJL
HG01865,KHV
NA18749,CHB
NA18602,CHB
HG02029,KHV
NA18939,JPT
NA18947,JPT
NA18946,JPT
NA18592,CHB
NA18595,CHB
NA19074,JPT
NA18642,CHB
NA18945,JPT
HG00620,CHS
HG03910,BEB
HG01858,KHV
HG04164,BEB
HG01850,KHV
HG02604,PJL
HG02028,KHV
NA18546,CHB
HG03229,PJL
HG03611,BEB
NA18976,JPT
NA18535,CHB
HG01840,KHV
HG03925,BEB
NA18610,CHB
HG02121,KHV
HG03940,BEB
NA18623,CHB
HG00728,CHS
HG03817,BEB
NA18530,CHB
NA18954,JPT
HG00631,CHS
HG00982,CDX
HG03762,PJL
NA19063,JPT
HG01046,CDX
HG00590,CHS
HG01817,CDX
HG03705,PJL
NA19005,JPT
HG02064,KHV
NA18525,CHB
HG04195,BEB
NA18993,JPT
NA18599,CHB
HG00422,CHS
NA18627,CHB
HG00533,CHS
HG01804,CDX
HG02181,CDX
HG02521,KHV
NA18570,CHB
NA18573,CHB
HG03237,PJL
HG00599,CHS
HG00879,CDX
NA18526,CHB
NA18543,CHB
NA18983,JPT
HG02351,CDX
NA18648,CHB
HG02490,PJL
HG03803,BEB
HG01816,CDX
HG03908,BEB
HG03919,BEB
HG02360,CDX
NA18952,JPT
HG03016,PJL
NA18966,JPT
HG00536,CHS
HG01598,KHV
HG03823,BEB
HG03808,BEB
HG02601,PJL
HG02040,KHV
HG02790,PJL
NA18533,CHB
HG01811,CDX
HG03941,BEB
NA18994,JPT
NA18567,CHB
HG03814,BEB
HG03922,BEB
NA18968,JPT
HG01812,CDX
NA18612,CHB
HG02786,PJL
HG04161,BEB
HG02688,PJL
HG02016,KHV
HG01593,PJL
NA18757,CHB
HG00699,CHS
HG01808,CDX
HG02141,KHV
HG03649,PJL
HG04177,BEB
HG02035,KHV
HG00701,CHS
HG03490,PJL
HG02687,PJL
HG02386,CDX
HG02407,CDX
HG02182,CDX
HG03668,PJL
HG01589,PJL
HG01873,KHV
HG02050,KHV
HG03916,BEB
HG02685,PJL
HG02156,CDX
HG03805,BEB
NA18965,JPT
HG01600,KHV
HG03703,PJL
NA18615,CHB
NA18606,CHB
HG02084,KHV
NA18981,JPT
NA18579,CHB
NA18984,JPT
NA18597,CHB
HG03619,PJL
NA19076,JPT
NA18561,CHB
HG02364,CDX
HG03920,BEB
NA18545,CHB
HG00881,CDX
HG02133,KHV
NA18951,JPT
HG03585,BEB
HG02134,KHV
NA18616,CHB
HG02658,PJL
HG03793,BEB
NA18970,JPT
HG03015,PJL
HG02187,CDX
HG02391,CDX
HG03594,BEB
HG03615,BEB
HG02113,KHV
NA19011,JPT
NA18632,CHB
HG04183,BEB
HG02784,PJL
NA18557,CHB
NA19081,JPT
NA18992,JPT
NA18940,JPT
HG00671,CHS
HG02152,CDX
HG01847,KHV
NA18591,CHB
HG00531,CHS
NA18613,CHB
HG01860,KHV
NA18942,JPT
NA18745,CHB
NA19004,JPT
HG00698,CHS
HG02142,KHV
HG04156,BEB
NA18626,CHB
NA18957,JPT
HG02061,KHV
HG03636,PJL
HG03660,PJL
NA18747,CHB
HG02081,KHV
HG00409,CHS
NA18969,JPT
NA18619,CHB
HG00704,CHS
NA18646,CHB
HG03709,PJL
NA18552,CHB
HG00566,CHS
HG00524,CHS
HG02048,KHV
HG01798,CDX
HG00476,CHS
NA18960,JPT
HG02130,KHV
NA18537,CHB
HG03598,BEB
HG02398,CDX
HG03812,BEB
HG03634,PJL
NA18547,CHB
HG01802,CDX
HG00610,CHS
HG04182,BEB
HG01599,KHV
NA19070,JPT
NA18574,CHB
HG00613,CHS
HG00445,CHS
HG01844,KHV
HG00542,CHS
NA18541,CHB
HG03600,BEB
HG02017,KHV
HG02079,KHV
HG00589,CHS
HG02731,PJL
HG02409,CDX
HG02179,CDX
HG04158,BEB
HG04144,BEB
NA19089,JPT
HG02371,CDX
HG02049,KHV
HG01849,KHV
NA18628,CHB
HG03702,PJL
HG04189,BEB
HG00759,CDX
NA18638,CHB
HG03629,PJL
HG00404,CHS
NA19000,JPT
NA18634,CHB
HG00654,CHS
HG02060,KHV
HG00530,CHS
NA18560,CHB
HG03830,BEB
HG04141,BEB
HG03234,PJL
HG00689,CHS
HG02734,PJL
NA18637,CHB
HG02780,PJL
HG02151,CDX
HG00443,CHS
HG02655,PJL
NA18959,JPT
HG03624,PJL
HG02379,CDX
HG01855,KHV
NA19086,JPT
NA18532,CHB
NA19075,JPT
NA18555,CHB
HG02153,CDX
NA18639,CHB
NA18635,CHB
HG02020,KHV
HG04188,BEB
NA18562,CHB
HG00598,CHS
HG04186,BEB
NA18633,CHB
HG02180,CDX
HG00458,CHS
HG02652,PJL
HG04155,BEB
HG01848,KHV
HG02383,CDX
HG02025,KHV
HG03616,BEB
HG03802,BEB
NA18539,CHB
HG02775,PJL
HG02603,PJL
NA19064,JPT
HG01794,CDX
NA19066,JPT
HG00705,CHS
HG03491,PJL
HG00674,CHS
HG04153,BEB
HG02697,PJL
HG02076,KHV
HG04171,BEB
HG01586,PJL
NA18973,JPT
HG00457,CHS
HG00626,CHS
