Sample_id,Population
HG02395,CDX
HG00463,CHS
HG00708,CHS
HG02375,CDX
NA19068,JPT
NA18982,JPT
HG02408,CDX
HG00663,CHS
HG02166,CDX
HG00611,CHS
HG00593,CHS
HG02134,KHV
HG00451,CHS
NA18949,JPT
HG02075,KHV
NA18740,CHB
HG00657,CHS
HG00537,CHS
NA18997,JPT
HG00565,CHS
NA18951,JPT
NA18545,CHB
NA18609,CHB
HG00650,CHS
NA18748,CHB
HG00729,CHS
HG02064,KHV
NA18635,CHB
NA19075,JPT
HG00623,CHS
NA18946,JPT
HG02188,CDX
NA18646,CHB
NA18542,CHB
HG02140,KHV
NA19056,JPT
NA18557,CHB
HG00692,CHS
HG01806,CDX
HG01870,KHV
NA18572,CHB
HG01799,CDX
NA19089,JPT
NA18619,CHB
HG01800,CDX
NA18565,CHB
NA18950,JPT
NA19090,JPT
NA18602,CHB
HG00672,CHS
HG00632,CHS
NA18983,JPT
HG00446,CHS
NA18559,CHB
NA18643,CHB
HG00452,CHS
NA18558,CHB
NA18570,CHB
HG00595,CHS
NA18574,CHB
NA18947,JPT
NA18567,CHB
HG01878,KHV
HG02131,KHV
NA18967,JPT
HG01874,KHV
HG00473,CHS
NA18563,CHB
HG02152,CDX
HG02165,CDX
HG02182,CDX
NA18957,JPT
HG01029,CDX
HG00556,CHS
NA18553,CHB
NA18596,CHB
HG02016,KHV
HG01847,KHV
HG02394,CDX
HG01794,CDX
NA18989,JPT
HG00513,CHS
HG00956,CDX
HG01840,KHV
NA18970,JPT
NA18939,JPT
HG00596,CHS
HG02040,KHV
HG00472,CHS
HG00449,CHS
NA18525,CHB
HG00619,CHS
HG02078,KHV
NA18942,JPT
HG00693,CHS
HG01846,KHV
NA18981,JPT
HG00464,CHS
HG02128,KHV
NA18973,JPT
NA18987,JPT
HG00410,CHS
HG01028,CDX
HG00560,CHS
HG00448,CHS
NA19081,JPT
NA18616,CHB
HG00407,CHS
HG02513,KHV
HG02020,KHV
HG00607,CHS
HG00867,CDX
NA18552,CHB
HG02371,CDX
HG00479,CHS
HG02360,CDX
NA19060,JPT
HG00475,CHS
HG00421,CHS
NA18999,JPT
HG00851,CDX
HG00534,CHS
HG01849,KHV
NA19054,JPT
HG01031,CDX
HG00978,CDX
HG01869,KHV
HG02032,KHV
HG02383,CDX
HG01813,CDX
NA19076,JPT
NA18637,CHB
NA18610,CHB
HG02390,CDX
HG02113,KHV
NA18990,JPT
HG01810,CDX
NA18623,CHB
HG00620,CHS
NA18615,CHB
HG01862,KHV
NA19085,JPT
NA18633,CHB
NA18620,CHB
HG02035,KHV
HG02181,CDX
HG00864,CDX
NA18974,JPT
HG01815,CDX
HG00690,CHS
HG01844,KHV
HG02121,KHV
NA18948,JPT
HG00662,CHS
HG02180,CDX
HG01859,KHV
HG01857,KHV
HG02057,KHV
HG02137,KHV
HG00631,CHS
NA18541,CHB
NA18995,JPT
HG02186,CDX
HG01046,CDX
HG02398,CDX
NA18531,CHB
NA19066,JPT
NA18611,CHB
NA18941,JPT
HG02133,KHV
HG02356,CDX
HG02151,CDX
NA18978,JPT
NA19058,JPT
HG00533,CHS
HG02048,KHV
HG01808,CDX
NA18622,CHB
HG02179,CDX
